cd_ibge,estrato,classf,id_familia,id_pessoa,cod_sexo_pessoa,idade,cod_parentesco_rf_pessoa,cod_raca_cor_pessoa,cod_local_nascimento_pessoa,cod_certidao_registrada_pessoa,cod_deficiencia_memb,cod_sabe_ler_escrever_memb,ind_frequenta_escola_memb,cod_escola_local_memb,cod_curso_frequenta_memb,cod_ano_serie_frequenta_memb,cod_curso_frequentou_pessoa_memb,cod_ano_serie_frequentou_memb,cod_concluiu_frequentou_memb,cod_trabalhou_memb,cod_afastado_trab_memb,cod_agricultura_trab_memb,cod_principal_trab_memb,val_remuner_emprego_memb,cod_trabalho_12_meses_memb,qtd_meses_12_meses_memb,val_renda_bruta_12_meses_memb,val_renda_doacao_memb,val_renda_aposent_memb,val_renda_seguro_desemp_memb,val_renda_pensao_alimen_memb,val_outras_rendas_memb,peso.fam,peso.pes
3162500,2,3,2332899,333621,2,38,1,2,2,1,2,1,3,,,,8,1,2,1,,2,6,880,1,12,10400,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333907,333935,2,47,1,1,1,2,2,1,3,,,,6,9,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334385,343326,1,16,3,2,1,1,2,1,1,1,5,9,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333467,343944,1,2,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2334388,344126,2,14,8,4,1,1,2,1,1,1,7,2,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333250,346625,2,50,1,1,1,1,2,1,3,,,,4,4,1,1,,2,1,100,1,3,300,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,1420869,347723,2,9,3,4,1,1,2,1,1,1,5,5,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,1487766,347983,2,17,3,1,1,1,2,1,1,1,7,3,,,,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2333070,348167,2,66,2,1,2,1,2,2,4,,,,,,,2,2,,,0,2,,,0,880,0,0,0,550130664359233,563253885846914
3162500,2,3,2333435,352541,1,1,3,1,1,1,2,2,4,,,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333499,357885,2,51,6,4,1,2,2,1,3,,,,4,4,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334030,357929,1,34,2,4,2,2,2,1,3,,,,5,7,2,1,,2,4,1043,1,2,2086,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334158,360476,1,3,3,4,1,1,2,1,1,1,2,,,,,,,,,,,,,,0,,0,,550130664359233,563253885846914
3162500,2,3,2333829,361888,2,32,1,1,1,1,2,1,3,,,,8,1,2,2,2,,,0,2,,,0,0,848,0,0,550130664359233,563253885846914
3162500,2,3,1466950,362180,2,54,2,1,2,2,2,1,3,,,,5,8,1,2,2,,,0,2,,,0,0,0,0,0,550130664359233,563253885846914
3162500,2,3,2334242,362654,2,32,1,1,1,2,2,1,3,,,,8,4,1,1,,2,1,300,1,12,3600,0,0,0,0,0,550130664359233,563253885846914
